fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at
0,27;0,1;0,21;0;7923968;10093176;10314402;647966582;19128591;1823409;2024-11-08 15:08:56.738
0,07;0,21;0,18;0;7922506;10093209;10314529;647783099;19126474;1823459;2024-11-08 15:12:24.883
0,26;0,18;0,22;2;7925245;10093139;10314356;647962020;19128923;1823391;2024-11-08 15:14:27.449
0,3;0,22;0,23;2;7923553;10093205;10314987;647661688;19125020;1823377;2024-11-08 15:16:36.173
0,24;0,18;0,22;0;7926067;10093214;10315171;647758410;19126229;1823406;2024-11-08 15:16:39.987
0,14;0,01;0,35;0;7922767;10093138;10314635;647987978;19137638;1823655;2024-11-08 20:14:43.141
0,32;0,17;0,19;0;7922997;10093181;10315339;647443620;19139406;1823795;2024-11-08 20:16:36.331
0,24;0,33;0,23;0;7923004;10093228;10314866;648230141;19139022;1823712;2024-11-08 20:20:19.685
0,22;0,22;0,28;1;7927247;10093243;10315390;647701213;19137981;1823751;2024-11-08 20:22:59.871
0,13;0,32;0,23;0;7927700;10093264;10314831;647640430;19137212;1823805;2024-11-08 20:23:14.162
0,39;0,16;0,18;0;7924796;10093258;10315595;647786291;19138135;1823678;2024-11-08 20:26:57.843
0,1;0,24;0,22;0;7927172;10093193;10315863;647731362;19136465;1823685;2024-11-08 20:27:25.203
0,27;0,33;0,17;2;7928981;10093309;10315372;647673693;19139594;1823779;2024-11-08 20:29:21.807
0,17;0,31;0,28;0;7926061;10093138;10314898;647825390;19137683;1823792;2024-11-08 20:31:29.128
0,39;0,18;0,3;0;7922239;10093184;10314637;647961182;19139273;1823712;2024-11-08 20:33:48.585
0,2;0,32;0,32;0;7930558;10093219;10315681;648432492;19145827;1823989;2024-11-08 23:48:54.931
0,06;0,3;0,31;0;7925054;10093297;10315531;648215700;19145477;1823855;2024-11-08 23:50:34.851
0,26;0,28;0,28;0;7922681;10093099;10314406;647996868;19143814;1823834;2024-11-08 23:51:50.129
0,43;0,32;0,27;0;7923513;10093119;10314993;648143820;19147996;1823864;2024-11-08 23:53:14.406
0,33;0,16;0,16;0;7925513;10093178;10316699;647785385;19145787;1824028;2024-11-08 23:55:15.396
0,28;0,32;0,2;2;7921489;10093228;10316325;647733021;19145156;1823872;2024-11-08 23:57:12.579
0,35;0,32;0,26;1;7920657;10093246;10315512;647934121;19148692;1823876;2024-11-08 23:59:53.920
0,43;0,42;0,28;0;7921755;10093207;10315401;648246468;19144942;1823923;2024-11-09 00:01:30.506
0,38;0,38;0,25;2;7923477;10093201;10315666;648111277;19145904;1824033;2024-11-09 00:02:47.241
0,27;0,32;0,26;0;7919445;10093102;10316016;648040182;19149062;1823844;2024-11-09 00:05:03.173
0,29;0,35;0,26;0;7928193;10093179;10315677;648294833;19148462;1824029;2024-11-09 00:16:29.901
0,35;0,24;0,16;0;7923743;10093291;10315957;647956103;19147016;1824055;2024-11-09 00:16:43.280
0,02;0,15;0,32;0;7926640;10093112;10316232;648127416;19146806;1823929;2024-11-09 00:19:14.024
0,28;0,34;0,26;0;7923497;10093267;10316121;647782155;19145490;1823995;2024-11-09 00:20:33.577
0,25;0,15;0,27;2;7925566;10093150;10315711;647908506;19148858;1823922;2024-11-09 00:22:33.962
0,33;0,32;0,18;1;7925590;10093218;10316162;647873376;19145902;1823942;2024-11-09 00:25:02.856
0,25;0,29;0,23;0;7922339;10093155;10316671;647841626;19147510;1824043;2024-11-09 00:27:17.255
0,21;0,08;0,34;0;7918356;10093182;10315898;648221684;19145692;1823977;2024-11-09 00:30:19.573
0,29;0,36;0,22;0;7926265;10093213;10315621;647752723;19149633;1823959;2024-11-09 00:31:59.741
0,17;0,15;0,23;2;7929299;10093261;10315773;648275757;19149672;1823911;2024-11-09 00:34:10.091
0,17;0,2;0,37;0;7916881;10093203;10315830;648044048;19147273;1824044;2024-11-09 00:34:34.795
0,32;0,1;0,23;0;7921443;10093154;10315840;647959816;19148901;1823976;2024-11-09 00:37:13.916
0,18;0,2;0,23;2;7918917;10093187;10315468;648103480;19148517;1824009;2024-11-09 00:39:19.458
0,38;0,31;0,26;2;7930588;10093122;10315915;647750727;19147174;1823897;2024-11-09 00:42:12.463
0,27;0,23;0,2;0;7923033;10093279;10315809;647725358;19149507;1823979;2024-11-09 00:42:40.844
0,2;0,18;0,3;1;7920479;10093255;10316464;647645375;19149317;1824067;2024-11-09 00:46:57.492
0,4;0,34;0,33;2;7925268;10093164;10316319;647894732;19149786;1824004;2024-11-09 00:48:43.048
0,29;0,28;0,2;0;7927235;10093143;10316206;648139841;19148817;1823976;2024-11-09 00:50:43.851
0,14;0,39;0,22;0;7926390;10093240;10315604;647768692;19146216;1824039;2024-11-09 00:51:06.295
0,16;0,3;0,25;0;7926524;10093226;10315690;647901386;19148401;1824021;2024-11-09 01:37:18.332
0,32;0,37;0,27;0;7925230;10093251;10315470;648211305;19149563;1823958;2024-11-09 01:39:25.033
0,19;0,45;0,23;0;7922137;10093120;10316158;647650389;19151217;1824050;2024-11-09 01:41:19.636
0,26;0,18;0,25;1;7923049;10093210;10316507;647916958;19148834;1823978;2024-11-09 01:43:34.239
0,41;0,16;0,28;2;7926718;10093118;10315945;648159038;19149754;1824034;2024-11-09 01:45:14.430
0,32;0,22;0,27;0;7928525;10093190;10316302;648108259;19149672;1823982;2024-11-09 01:48:49.569
0,14;0,32;0,31;1;7923216;10093258;10316107;648109578;19149667;1824126;2024-11-09 01:48:52.808
0,25;0,16;0,22;1;7929193;10093170;10315346;647829409;19149889;1823968;2024-11-09 01:51:58.285
0,42;0,35;0,23;1;7931742;10093227;10315484;648223245;19153122;1823970;2024-11-09 01:53:51.276
0,36;0,24;0,27;2;7923893;10093194;10315603;647981582;19148486;1824000;2024-11-09 01:56:31.625
0,4;0,19;0,26;0;7922456;10093215;10316337;647778330;19150409;1823971;2024-11-09 01:58:05.288
0,23;0,31;0,24;0;7922517;10093189;10315627;648315446;19151571;1823974;2024-11-09 01:58:53.899
0,23;0,21;0,23;2;7926886;10093242;10315716;648342293;19152369;1824105;2024-11-09 02:01:42.025
0,43;0,36;0,18;1;7929003;10093203;10315978;647846555;19148836;1824134;2024-11-09 02:04:23.172
0,32;0,19;0,17;2;7921107;10093217;10315965;648040660;19148705;1824029;2024-11-09 02:04:42.169
0,3;0,2;0,3;0;7933479;10093180;10316098;648037924;19149176;1824139;2024-11-09 02:06:48.335
0,41;0,33;0,23;0;7926628;10093138;10316374;647746627;19152003;1824127;2024-11-09 02:10:23.955
0,25;0,19;0,23;2;7922978;10093265;10315835;647984418;19153618;1824112;2024-11-09 02:10:41.033
0,32;0,16;0,17;0;7922332;10093196;10315845;647880393;19151281;1824169;2024-11-09 02:13:46.345
0,08;0,22;0,34;0;7923236;10093286;10316313;648099988;19153766;1824126;2024-11-09 02:14:46.543
0,19;0,33;0,21;2;7923018;10093202;10316083;648239600;19152994;1824107;2024-11-09 02:17:33.799
