fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at;cycle_phase;cycle_factor
0,20;0,15;0,18;1;7790594;10078021;10150527;523741613;10773958;1279918;2024-11-06 08:34:14.200;0.003;0.020
0,18;0,25;0,18;2;7753876;10077870;10148262;511363176;10823141;1276645;2024-11-06 08:34:31.604;0.003;0.021
0,20;0,25;0,24;0;7768810;10078745;10143091;508901263;10793484;1282220;2024-11-06 08:38:48.577;0.004;0.022
0,26;0,18;0,24;1;7772769;10078938;10154845;511768074;10747419;1285721;2024-11-06 08:40:51.528;0.004;0.024
0,29;0,23;0,23;0;7761775;10076684;10154875;513111130;10748005;1286697;2024-11-06 08:41:22.416;0.004;0.025
0,14;0,25;0,27;3;7787569;10078568;10149418;519381563;10829049;1288695;2024-11-06 08:42:30.023;0.004;0.026
0,15;0,24;0,22;0;7777774;10077506;10148726;514012766;10845684;1289024;2024-11-06 08:46:14.141;0.004;0.027
0,26;0,23;0,22;3;7764657;10077136;10147827;515540440;10804843;1280735;2024-11-06 08:47:18.472;0.005;0.029
0,16;0,17;0,21;0;7784240;10077883;10153236;520168363;10854272;1286849;2024-11-06 08:50:20.131;0.005;0.030
0,22;0,25;0,24;0;7764244;10076564;10154081;510026598;10858688;1286432;2024-11-06 08:51:22.862;0.005;0.031
0,21;0,20;0,23;0;7763065;10077738;10147972;511591623;10789208;1285844;2024-11-06 08:53:31.920;0.005;0.032
0,20;0,23;0,26;0;7757469;10077911;10149742;524038256;10803700;1290198;2024-11-06 08:54:52.222;0.005;0.034
0,18;0,16;0,29;0;7761964;10079720;10149133;509287217;10855698;1285956;2024-11-06 08:57:49.343;0.006;0.035
0,15;0,21;0,25;0;7758157;10078503;10141178;500003361;10865362;1291793;2024-11-06 08:59:07.933;0.006;0.036
0,21;0,27;0,21;1;7779618;10078149;10150696;530370335;11102690;1325512;2024-11-06 09:01:46.986;0.006;0.037
0,19;0,21;0,22;0;7773438;10078555;10161380;527804208;11063349;1335301;2024-11-06 09:02:57.501;0.006;0.039
0,17;0,28;0,31;0;7760527;10077696;10167023;520953845;11143699;1328563;2024-11-06 09:06:54.659;0.006;0.040
0,25;0,17;0,24;0;7774756;10077804;10154040;529483200;11069684;1336673;2024-11-06 09:08:13.985;0.007;0.041
0,22;0,25;0,27;1;7759370;10080013;10153083;529728728;11140996;1329609;2024-11-06 09:08:39.350;0.007;0.042
0,27;0,23;0,19;0;7761055;10078715;10153759;526801888;11139932;1337922;2024-11-06 09:12:07.014;0.007;0.044
0,22;0,15;0,27;0;7766692;10080541;10156755;524552617;11150692;1336001;2024-11-06 09:14:32.846;0.007;0.045
0,22;0,21;0,21;0;7771775;10078356;10145380;527535923;11099454;1332256;2024-11-06 09:15:45.965;0.007;0.046
0,27;0,23;0,25;0;7780489;10077524;10156194;523514319;11165717;1334017;2024-11-06 09:16:43.504;0.008;0.047
0,27;0,18;0,25;0;7760057;10079605;10154237;526200648;11144902;1334909;2024-11-06 09:20:01.361;0.008;0.049
0,30;0,23;0,25;0;7792515;10078240;10165975;526789239;11138269;1335992;2024-11-06 09:21:06.427;0.008;0.050
0,18;0,31;0,26;0;7777791;10077391;10150875;523156383;11202823;1334939;2024-11-06 09:24:44.427;0.008;0.051
0,15;0,21;0,23;0;7758806;10079133;10154736;520513095;11138031;1336083;2024-11-06 09:25:03.895;0.008;0.052
0,26;0,24;0,27;0;7777560;10078756;10159008;517824878;11117456;1344215;2024-11-06 09:26:49.515;0.009;0.054
0,20;0,17;0,24;0;7759454;10078197;10148821;518219439;11162882;1343274;2024-11-06 09:30:46.806;0.009;0.055
0,22;0,30;0,25;0;7760707;10079800;10155493;524050398;11222729;1342827;2024-11-06 09:32:26.557;0.009;0.056
0,22;0,17;0,23;0;7782339;10079328;10161595;533144444;11196265;1340308;2024-11-06 09:33:08.158;0.009;0.057
0,32;0,20;0,28;0;7760921;10078071;10149796;527486922;11171596;1345714;2024-11-06 09:35:06.750;0.009;0.059
0,23;0,28;0,25;0;7765705;10077278;10157578;534389126;11150474;1346014;2024-11-06 09:37:37.382;0.010;0.060
0,24;0,29;0,24;0;7755937;10078291;10161395;525121763;11230787;1342163;2024-11-06 09:38:31.663;0.010;0.061
0,26;0,26;0,20;0;7784858;10077650;10157441;526891773;11157388;1342082;2024-11-06 09:42:53.578;0.010;0.062
0,21;0,25;0,25;3;7767210;10078733;10167656;518623236;11229183;1342025;2024-11-06 09:44:40.941;0.010;0.064
0,15;0,21;0,32;2;7774336;10078533;10151632;526421560;11260353;1350895;2024-11-06 09:46:34.275;0.011;0.066
0,15;0,26;0,25;0;7777773;10080541;10151481;519876766;11246916;1349373;2024-11-06 09:46:53.762;0.010;0.065
0,16;0,21;0,27;0;7790113;10077242;10154852;530165486;11237888;1350778;2024-11-06 09:49:02.525;0.011;0.067
0,22;0,23;0,24;2;7779976;10078709;10143898;536292713;11181344;1346658;2024-11-06 09:52:14.659;0.011;0.069
0,28;0,29;0,18;0;7763389;10080299;10159483;529388840;11229060;1352305;2024-11-06 09:54:29.654;0.011;0.070
0,22;0,25;0,33;1;7765772;10079322;10154708;525851868;11221625;1348071;2024-11-06 09:56:22.383;0.011;0.071
0,28;0,33;0,27;2;7751261;10078890;10156413;526340333;11264404;1354122;2024-11-06 09:57:16.902;0.012;0.072
0,22;0,21;0,23;1;7764123;10078845;10157582;527671312;11236639;1349418;2024-11-06 09:59:47.654;0.012;0.073
0,29;0,22;0,30;0;7779063;10079202;10161806;538327473;11447978;1383252;2024-11-06 10:02:24.625;0.012;0.075
0,16;0,25;0,22;1;7771363;10078993;10168939;540711252;11474073;1380008;2024-11-06 10:04:24.860;0.012;0.076
0,30;0,28;0,32;0;7791966;10079514;10157939;535677853;11428446;1383259;2024-11-06 10:06:50.003;0.012;0.077
0,28;0,32;0,23;0;7763442;10078038;10158011;537171681;11436052;1382152;2024-11-06 10:08:02.282;0.013;0.078
0,31;0,29;0,31;0;7791357;10079412;10161695;538888463;11426138;1387724;2024-11-06 10:10:27.466;0.013;0.080
0,26;0,23;0,23;1;7774090;10078822;10168068;539162119;11478335;1386506;2024-11-06 10:12:50.150;0.013;0.081
0,31;0,28;0,19;0;7776198;10078425;10164885;537822271;11509427;1386251;2024-11-06 10:13:33.468;0.013;0.082
0,21;0,25;0,26;0;7782380;10079851;10162160;538251212;11439492;1387676;2024-11-06 10:15:15.081;0.013;0.083
0,29;0,25;0,28;1;7773306;10079933;10169232;548488097;11450211;1386278;2024-11-06 10:17:56.847;0.013;0.085
0,24;0,25;0,21;0;7758427;10078939;10166134;534453395;11464469;1393305;2024-11-06 10:20:15.216;0.014;0.086
0,30;0,30;0,23;0;7769901;10079965;10163335;534414648;11512205;1392244;2024-11-06 10:22:53.550;0.014;0.087
0,21;0,25;0,26;0;7783565;10078025;10160297;533885077;11520054;1390199;2024-11-06 10:24:27.502;0.014;0.088
0,19;0,28;0,31;0;7768874;10080174;10168479;539396901;11486903;1396361;2024-11-06 10:24:50.549;0.014;0.090
0,25;0,22;0,29;0;7773414;10079021;10158923;538382449;11529452;1395480;2024-11-06 10:27:03.409;0.014;0.091
0,31;0,31;0,22;0;7788073;10078843;10161970;537940196;11464960;1398812;2024-11-06 10:28:44.741;0.015;0.092
0,30;0,25;0,27;0;7781154;10077599;10165136;541832210;11566930;1391762;2024-11-06 10:32:51.312;0.015;0.093
0,22;0,21;0,26;2;7782102;10076996;10170078;532494884;11533698;1396118;2024-11-06 10:34:52.432;0.015;0.095
0,27;0,22;0,20;0;7784020;10078995;10162220;544558629;11515492;1400970;2024-11-06 10:35:46.613;0.015;0.096
0,27;0,18;0,24;3;7777232;10078659;10163061;545252827;11532250;1396601;2024-11-06 10:38:14.501;0.015;0.097
0,33;0,34;0,27;0;7776588;10078491;10156491;540964040;11576458;1394102;2024-11-06 10:40:54.995;0.016;0.098
0,25;0,31;0,28;1;7793969;10078727;10161259;544855172;11568170;1394883;2024-11-06 10:41:05.933;0.016;0.100
0,24;0,24;0,23;0;7778015;10078757;10154567;546515455;11506072;1398279;2024-11-06 10:44:57.889;0.016;0.101
0,28;0,28;0,26;2;7787960;10079995;10168373;537665183;11527270;1405651;2024-11-06 10:45:31.935;0.016;0.102
0,27;0,24;0,31;0;7764225;10079486;10168436;545063873;11606603;1404457;2024-11-06 10:48:30.516;0.016;0.103
0,24;0,27;0,29;0;7775658;10078569;10162894;542264105;11540263;1402071;2024-11-06 10:50:24.216;0.017;0.105
0,28;0,28;0,25;0;7787379;10078364;10164346;542803699;11545629;1400768;2024-11-06 10:50:48.542;0.017;0.106
0,23;0,31;0,30;0;7767651;10080093;10157437;549800854;11561181;1400751;2024-11-06 10:54:05.345;0.017;0.107
0,28;0,27;0,27;2;7772704;10079356;10163353;534993036;11573432;1400561;2024-11-06 10:56:23.420;0.017;0.108
0,26;0,27;0,25;1;7772545;10079379;10166742;544689344;11546525;1405215;2024-11-06 10:58:28.034;0.017;0.109
0,20;0,36;0,27;1;7776457;10079089;10171891;542839255;11711562;1429919;2024-11-06 11:00:37.992;0.018;0.111
0,43;0,33;0,21;0;7773563;10079619;10161580;542750058;11761884;1427250;2024-11-06 11:01:26.890;0.018;0.112
0,28;0,25;0,24;0;7807326;10079282;10170115;551172156;11702659;1427757;2024-11-06 11:02:52.612;0.018;0.113
0,28;0,22;0,23;3;7793429;10079056;10166135;541308982;11698535;1430841;2024-11-06 11:06:14.368;0.018;0.114
0,29;0,24;0,27;0;7785817;10079853;10171904;548688231;11719663;1433189;2024-11-06 11:07:59.342;0.018;0.116
0,28;0,24;0,27;0;7792018;10078859;10180571;547355548;11746984;1433668;2024-11-06 11:09:34.185;0.019;0.117
0,29;0,29;0,30;1;7789328;10078307;10168130;544970235;11729915;1429862;2024-11-06 11:12:45.346;0.019;0.118
0,34;0,27;0,31;3;7777148;10079145;10170071;546847334;11753077;1433552;2024-11-06 11:14:19.417;0.019;0.119
0,27;0,28;0,23;0;7784539;10081994;10167412;545660306;11756083;1427518;2024-11-06 11:14:33.733;0.019;0.121
0,22;0,37;0,20;0;7785504;10078474;10162103;537023469;11751018;1428242;2024-11-06 11:17:31.487;0.019;0.122
0,25;0,24;0,31;1;7784335;10079302;10168354;544856949;11750081;1428550;2024-11-06 11:20:59.584;0.020;0.123
0,30;0,28;0,26;2;7774490;10078794;10170424;541468742;11798241;1436957;2024-11-06 11:21:19.225;0.020;0.124
0,31;0,23;0,20;1;7787609;10078971;10169264;542384122;11817051;1437231;2024-11-06 11:24:57.628;0.020;0.126
0,30;0,24;0,32;0;7782280;10081537;10170613;544684442;11744762;1435199;2024-11-06 11:25:01.424;0.020;0.127
0,30;0,33;0,34;1;7785869;10078599;10165150;545585513;11744794;1437799;2024-11-06 11:28:49.565;0.020;0.128
0,33;0,27;0,31;3;7793068;10078314;10170814;546120641;11820044;1437238;2024-11-06 11:29:57.456;0.021;0.129
0,30;0,26;0,27;0;7782146;10080851;10175189;545380075;11834746;1435487;2024-11-06 11:31:02.456;0.021;0.131
0,17;0,28;0,25;0;7797088;10079585;10167729;546807033;11756097;1439715;2024-11-06 11:34:47.170;0.021;0.132
0,21;0,31;0,27;1;7772458;10081142;10171562;546513053;11825864;1442609;2024-11-06 11:36:08.698;0.021;0.133
0,28;0,33;0,27;2;7782780;10079034;10169393;549073701;11790990;1435977;2024-11-06 11:38:16.722;0.021;0.134
0,20;0,26;0,26;1;7766007;10080094;10164455;547621371;11836468;1442666;2024-11-06 11:39:11.286;0.022;0.135
0,29;0,30;0,31;1;7797777;10080681;10168729;547266755;11794878;1438171;2024-11-06 11:41:14.685;0.022;0.137
0,32;0,29;0,30;3;7773653;10080411;10155961;546002259;11833846;1445039;2024-11-06 11:43:35.316;0.022;0.138
0,29;0,26;0,30;1;7768581;10080314;10171748;551384990;11787215;1439431;2024-11-06 11:46:28.979;0.022;0.139
0,31;0,23;0,28;2;7805380;10079288;10172839;549516353;11846343;1445542;2024-11-06 11:48:47.827;0.022;0.140
0,28;0,23;0,24;1;7769343;10079436;10171834;548055741;11789877;1449062;2024-11-06 11:48:52.337;0.023;0.142
0,25;0,26;0,25;0;7766418;10080486;10174847;549069918;11797739;1448473;2024-11-06 11:51:58.275;0.023;0.143
0,37;0,24;0,24;0;7780402;10080336;10166921;552086230;11843206;1447000;2024-11-06 11:53:12.522;0.023;0.144
0,27;0,37;0,30;2;7777853;10079833;10174002;548143634;11856627;1444558;2024-11-06 11:54:52.923;0.023;0.145
0,29;0,37;0,32;0;7785876;10079553;10173226;549908042;11862401;1443462;2024-11-06 11:58:25.943;0.023;0.147
0,28;0,33;0,21;1;7786542;10079507;10166612;552845551;11824116;1445184;2024-11-06 11:59:06.127;0.024;0.148
0,21;0,26;0,28;0;7794713;10080139;10168069;561930909;11898226;1452847;2024-11-06 12:02:28.563;0.024;0.149
0,29;0,29;0,26;1;7767785;10079230;10169353;554399037;11929666;1457685;2024-11-06 12:03:15.611;0.024;0.150
0,27;0,27;0,27;0;7777081;10078944;10168739;559930239;11967843;1460706;2024-11-06 12:04:52.467;0.024;0.152
0,21;0,27;0,25;3;7781572;10079579;10167207;551170797;11914291;1463110;2024-11-06 12:06:36.697;0.024;0.153
0,24;0,25;0,30;0;7792429;10080040;10171227;555585002;11959888;1456387;2024-11-06 12:10:19.754;0.025;0.154
0,25;0,40;0,30;3;7781104;10080316;10167265;552147487;11932134;1458766;2024-11-06 12:12:30.510;0.025;0.155
0,34;0,26;0,30;0;7794647;10080085;10178882;548980491;11889312;1459655;2024-11-06 12:14:01.284;0.025;0.156
0,29;0,32;0,32;0;7786596;10079786;10172216;548987344;11966934;1465036;2024-11-06 12:16:18.698;0.025;0.158
0,29;0,33;0,29;0;7775143;10080184;10166563;552942246;11985756;1465516;2024-11-06 12:18:59.023;0.025;0.159
0,39;0,25;0,31;0;7769270;10079052;10175002;563714174;11931558;1460737;2024-11-06 12:19:40.684;0.026;0.160
0,16;0,27;0,29;1;7791646;10079657;10176476;560095648;11931862;1464279;2024-11-06 12:21:37.842;0.026;0.161
0,30;0,37;0,32;0;7779561;10077914;10173054;556444561;11958835;1468156;2024-11-06 12:24:47.241;0.026;0.163
0,25;0,35;0,30;0;7794110;10079832;10176546;554145273;12007039;1461340;2024-11-06 12:26:05.784;0.026;0.164
0,26;0,26;0,34;0;7783661;10079845;10178950;556639922;11929576;1470530;2024-11-06 12:28:22.075;0.026;0.165
0,31;0,34;0,30;0;7805313;10078658;10168271;549774077;12026978;1462419;2024-11-06 12:28:36.346;0.027;0.166
0,26;0,31;0,28;1;7792962;10082200;10177920;546969398;11978886;1468117;2024-11-06 12:30:42.465;0.027;0.168
0,32;0,35;0,26;0;7780139;10079037;10173688;554308265;11977800;1464765;2024-11-06 12:33:39.874;0.027;0.169
0,26;0,24;0,24;3;7795919;10080265;10171434;571319589;12028859;1465920;2024-11-06 12:35:38.476;0.027;0.170
0,36;0,32;0,27;1;7772391;10080163;10175729;571110792;12011561;1469515;2024-11-06 12:38:16.356;0.027;0.171
0,31;0,31;0,27;0;7781575;10077925;10181433;556862847;11984396;1474585;2024-11-06 12:38:41.273;0.028;0.172
0,26;0,29;0,21;0;7786232;10080511;10177387;556433738;11960732;1476485;2024-11-06 12:40:39.182;0.028;0.174
0,22;0,35;0,28;1;7791458;10078854;10169468;554839335;12013559;1473975;2024-11-06 12:44:07.236;0.028;0.175
0,32;0,34;0,28;0;7793245;10077705;10178501;562342525;12033117;1472168;2024-11-06 12:46:52.079;0.028;0.176
0,25;0,31;0,34;0;7808757;10079322;10180190;562783985;12004916;1469920;2024-11-06 12:48:53.253;0.028;0.177
0,26;0,28;0,26;1;7776490;10080087;10171753;553332352;12062807;1471745;2024-11-06 12:50:23.645;0.029;0.179
0,31;0,33;0,35;1;7802709;10078778;10171718;569018583;12033989;1474046;2024-11-06 12:50:36.425;0.029;0.180
0,25;0,24;0,30;0;7785382;10077784;10174268;556848642;12081671;1472210;2024-11-06 12:53:29.490;0.029;0.181
0,37;0,29;0,31;0;7788802;10080755;10171744;549902715;12032138;1472506;2024-11-06 12:56:33.499;0.029;0.182
0,33;0,26;0,32;3;7764999;10079967;10163686;558836147;12078504;1478621;2024-11-06 12:57:18.192;0.029;0.183
0,26;0,37;0,31;0;7781517;10079196;10177577;551018185;12033247;1470926;2024-11-06 13:00:01.797;0.030;0.185
0,39;0,32;0,27;0;7783169;10080123;10177896;554347477;11977717;1476255;2024-11-06 13:02:41.194;0.030;0.186
0,30;0,23;0,29;3;7784751;10079241;10172092;565407873;12003256;1478485;2024-11-06 13:03:18.095;0.030;0.187
0,25;0,32;0,27;2;7775513;10079920;10176419;552903977;12050580;1474204;2024-11-06 13:05:23.050;0.030;0.188
0,29;0,31;0,30;2;7792771;10080311;10181812;561053986;12055773;1476581;2024-11-06 13:07:14.321;0.030;0.190
0,33;0,27;0,25;0;7785981;10080278;10170633;552267746;11987806;1478304;2024-11-06 13:10:41.962;0.031;0.191
0,27;0,24;0,26;2;7776544;10079401;10173150;571073727;12002470;1473503;2024-11-06 13:12:58.926;0.031;0.192
0,32;0,31;0,27;3;7762397;10080151;10185682;556872656;12040806;1476159;2024-11-06 13:13:59.423;0.031;0.193
0,32;0,23;0,25;1;7783737;10079836;10179536;554191143;12096215;1483157;2024-11-06 13:15:25.253;0.031;0.194
0,28;0,31;0,26;2;7783869;10078243;10168539;545426282;12029842;1481073;2024-11-06 13:18:45.131;0.031;0.196
0,24;0,38;0,31;0;7788727;10078880;10181720;552728263;12099910;1475884;2024-11-06 13:20:30.920;0.032;0.197
0,36;0,38;0,26;1;7795629;10080360;10168526;558737882;12056751;1481595;2024-11-06 13:22:05.638;0.032;0.198
0,26;0,30;0,32;0;7781015;10080647;10166501;563040500;12070342;1482270;2024-11-06 13:23:40.884;0.032;0.199
0,32;0,32;0,30;1;7774299;10079070;10179588;560134162;12051126;1483820;2024-11-06 13:24:46.231;0.032;0.201
0,24;0,35;0,37;0;7790823;10077171;10181651;550348152;12046875;1482987;2024-11-06 13:26:39.164;0.032;0.202
0,19;0,30;0,29;2;7773257;10080546;10176314;556908656;12099889;1478966;2024-11-06 13:28:30.454;0.033;0.203
0,31;0,25;0,28;3;7789512;10079065;10176284;555431526;12084501;1486371;2024-11-06 13:32:39.090;0.033;0.204
0,27;0,34;0,33;2;7788171;10082184;10179419;563592723;12109052;1485422;2024-11-06 13:33:14.086;0.033;0.205
0,26;0,25;0,27;0;7780072;10079947;10171104;553460516;12141775;1490590;2024-11-06 13:36:58.460;0.033;0.207
0,27;0,24;0,28;0;7792422;10080833;10174658;555316469;12062992;1486102;2024-11-06 13:38:32.303;0.033;0.208
0,31;0,38;0,27;0;7790781;10079557;10174474;562363952;12070709;1490016;2024-11-06 13:39:40.470;0.034;0.209
0,35;0,26;0,19;2;7768930;10080920;10168796;558785746;12065322;1490170;2024-11-06 13:40:40.929;0.034;0.210
0,36;0,27;0,27;0;7794844;10080651;10177274;557247300;12085609;1489421;2024-11-06 13:43:17.450;0.034;0.212
0,35;0,28;0,26;0;7783806;10080406;10170150;559839281;12151081;1489746;2024-11-06 13:46:11.140;0.034;0.213
0,39;0,32;0,30;0;7773513;10078705;10178391;558350473;12179583;1492555;2024-11-06 13:46:39.416;0.034;0.214
0,31;0,23;0,35;0;7793555;10081276;10171938;569712186;12171002;1496231;2024-11-06 13:50:12.455;0.035;0.215
0,35;0,30;0,30;2;7789564;10079603;10178504;556117789;12107144;1490595;2024-11-06 13:51:07.173;0.035;0.216
0,30;0,27;0,29;0;7792910;10080540;10181975;552961220;12102470;1491904;2024-11-06 13:53:00.347;0.035;0.218
0,30;0,26;0,25;0;7783102;10078798;10175827;563706375;12152030;1492960;2024-11-06 13:55:50.999;0.035;0.219
0,25;0,30;0,34;0;7782414;10078222;10177598;557949048;12196336;1499234;2024-11-06 13:58:19.463;0.035;0.220
0,23;0,27;0,27;1;7779162;10079560;10170760;558428736;11989581;1479021;2024-11-06 14:00:01.270;0.036;0.221
0,27;0,29;0,28;0;7792667;10078422;10174171;562385178;12089286;1479072;2024-11-06 14:02:53.838;0.036;0.223
0,36;0,36;0,33;1;7778829;10078478;10167557;560795880;12052325;1474605;2024-11-06 14:03:05.377;0.036;0.224
0,34;0,30;0,25;1;7783100;10079543;10173297;562668064;12023710;1482127;2024-11-06 14:06:03.204;0.036;0.225
0,35;0,32;0,27;1;7780825;10080799;10173000;553500824;12025786;1480954;2024-11-06 14:07:31.609;0.036;0.226
0,25;0,33;0,29;3;7778106;10078366;10172409;556732379;12055129;1482894;2024-11-06 14:10:38.726;0.037;0.227
0,19;0,32;0,27;1;7780793;10078837;10172541;561601914;12058903;1478901;2024-11-06 14:11:20.593;0.037;0.229
0,38;0,33;0,29;0;7785985;10081096;10178659;554048872;12025661;1483024;2024-11-06 14:12:38.321;0.037;0.230
0,28;0,32;0,31;0;7785011;10079495;10180501;552952631;12118629;1481342;2024-11-06 14:16:38.232;0.037;0.231
0,34;0,35;0,27;1;7793280;10078812;10174382;555992436;12127512;1487649;2024-11-06 14:18:14.726;0.037;0.232
0,31;0,36;0,23;1;7789388;10079557;10166527;554388310;12095042;1479981;2024-11-06 14:19:10.719;0.037;0.233
0,33;0,28;0,31;0;7783205;10079146;10181402;562733964;12107702;1482500;2024-11-06 14:21:47.353;0.038;0.235
0,32;0,37;0,29;0;7767319;10080087;10180727;566826675;12047169;1487501;2024-11-06 14:22:41.969;0.038;0.236
0,34;0,29;0,35;0;7767379;10080175;10176113;554205761;12150353;1483931;2024-11-06 14:26:11.166;0.038;0.237
0,32;0,36;0,24;0;7785041;10079842;10180932;554575604;12154836;1487730;2024-11-06 14:28:04.037;0.038;0.238
0,29;0,28;0,25;0;7789449;10080899;10182860;556962770;12075706;1485678;2024-11-06 14:30:28.378;0.038;0.240
0,37;0,33;0,33;3;7779837;10079976;10174241;567220487;12085283;1487001;2024-11-06 14:31:11.294;0.039;0.241
0,28;0,29;0,28;0;7768910;10078456;10178867;562074038;12168741;1486478;2024-11-06 14:32:57.759;0.039;0.242
0,33;0,28;0,25;2;7780198;10080807;10175149;565724159;12092970;1489009;2024-11-06 14:34:35.669;0.039;0.243
0,30;0,32;0,33;1;7794996;10081154;10178123;561957991;12134816;1488915;2024-11-06 14:37:31.450;0.039;0.244
0,29;0,38;0,29;0;7796960;10080256;10174448;560569364;12096848;1489377;2024-11-06 14:39:00.168;0.039;0.246
0,37;0,28;0,29;1;7795338;10080591;10173298;562010711;12166093;1496141;2024-11-06 14:42:41.125;0.040;0.247
0,20;0,30;0,34;0;7809543;10079689;10174954;560011102;12103697;1488959;2024-11-06 14:43:17.874;0.040;0.248
0,26;0,28;0,25;0;7790956;10080338;10186368;552159537;12118048;1496746;2024-11-06 14:45:33.436;0.040;0.249
0,23;0,37;0,26;0;7784238;10081293;10174153;558784493;12204127;1493397;2024-11-06 14:48:53.292;0.040;0.250
0,28;0,29;0,26;2;7786264;10080391;10181050;555607944;12171737;1493523;2024-11-06 14:49:43.933;0.040;0.252
0,24;0,34;0,32;3;7774656;10079702;10176452;563637138;12202310;1494470;2024-11-06 14:50:47.675;0.041;0.253
0,40;0,33;0,28;0;7793600;10081374;10182847;563667697;12138507;1493616;2024-11-06 14:52:53.948;0.041;0.254
0,29;0,33;0,27;0;7781995;10080422;10175257;559404872;12201478;1494851;2024-11-06 14:55:55.885;0.041;0.255
0,32;0,24;0,27;0;7792976;10079687;10181549;558432890;12201638;1502114;2024-11-06 14:57:57.857;0.041;0.256
0,24;0,34;0,36;1;7790109;10080054;10180711;560905412;12158528;1495347;2024-11-06 14:59:51.776;0.041;0.258
0,30;0,32;0,25;1;7782309;10080470;10180735;557108499;12029960;1473467;2024-11-06 15:02:24.668;0.042;0.259
0,29;0,29;0,31;0;7778400;10079159;10174922;554918551;11981214;1468420;2024-11-06 15:02:34.735;0.042;0.260
0,27;0,25;0,31;3;7771607;10078926;10190133;559881257;12050046;1467310;2024-11-06 15:05:46.307;0.042;0.261
0,34;0,28;0,33;0;7765297;10080349;10173991;553868577;11975262;1474675;2024-11-06 15:08:10.254;0.042;0.262
0,13;0,29;0,25;0;7808363;10079616;10163006;554449936;12039491;1474009;2024-11-06 15:09:15.991;0.042;0.264
0,25;0,28;0,26;1;7800817;10079272;10181046;561959962;11973471;1470732;2024-11-06 15:11:32.483;0.043;0.265
0,20;0,35;0,26;0;7784458;10078977;10174448;562750206;12010782;1473000;2024-11-06 15:13:22.923;0.043;0.266
0,32;0,32;0,30;2;7788616;10081118;10169838;559625859;12009325;1479041;2024-11-06 15:15:19.084;0.043;0.267
0,21;0,30;0,33;1;7775299;10078721;10172094;552902668;12032020;1472902;2024-11-06 15:18:14.663;0.043;0.268
0,30;0,23;0,28;0;7789309;10079974;10174567;554185901;12063752;1481077;2024-11-06 15:19:30.024;0.043;0.270
0,38;0,28;0,29;0;7781775;10080232;10171265;546753743;12052442;1474857;2024-11-06 15:21:39.553;0.044;0.271
0,24;0,23;0,33;2;7790483;10079653;10177481;554065712;12077975;1477654;2024-11-06 15:23:51.141;0.044;0.272
0,25;0,31;0,28;0;7793504;10080217;10161850;556914718;12027068;1481861;2024-11-06 15:24:47.802;0.044;0.273
0,15;0,33;0,27;0;7776763;10080924;10178661;564110918;12102721;1476990;2024-11-06 15:27:48.104;0.044;0.274
0,28;0,35;0,24;0;7782624;10079988;10178930;555329747;12056263;1476255;2024-11-06 15:28:39.131;0.044;0.276
0,33;0,33;0,31;0;7790871;10078913;10179766;556027223;12114265;1483925;2024-11-06 15:31:53.832;0.045;0.277
