fw_load_avg_1_min;fw_load_avg_5_min;fw_load_avg_15_min;fw_cpu_used;mem_used;root_used;log_used;fw_total_alloc;total_rx_packets;total_tx_packets;created_at
0,00;0,03;0,15;0;7909275;10093229;10308156;646071957;19010520;1820237;2024-11-06 10:33:04.385
0,11;0,13;0,18;0;7912917;10093231;10308198;646055760;19007463;1820237;2024-11-06 10:36:37.032
0,16;0,22;0,15;0;7907023;10093213;10307338;646019380;19006554;1820253;2024-11-06 10:37:54.476
0,07;0,11;0,24;0;7918949;10093160;10307758;646001325;19010797;1820294;2024-11-06 10:39:56.751
0,13;0,00;0,21;1;7912916;10093241;10309340;645923538;19006627;1820175;2024-11-06 10:41:50.899
0,13;0,10;0,17;0;7908019;10093305;10308586;646163161;19010928;1820333;2024-11-06 10:42:40.418
0,00;0,11;0,17;1;7910287;10093192;10308565;645823301;19006263;1820351;2024-11-06 10:46:04.669
0,21;0,24;0,21;0;7910619;10093181;10308345;645991929;19009029;1820294;2024-11-06 10:48:48.492
0,31;0,17;0,19;0;7915589;10093184;10308744;645886028;19006796;1820196;2024-11-06 10:48:53.327
0,32;0,16;0,15;0;7913355;10093275;10308273;645930515;19011293;1820260;2024-11-06 10:51:34.065
0,04;0,12;0,22;0;7905223;10093214;10308804;646069986;19010342;1820268;2024-11-06 10:54:44.695
0,04;0,21;0,22;1;7911085;10093221;10308155;645596332;19007124;1820282;2024-11-06 10:55:48.306
0,32;0,35;0,23;1;7908518;10093180;10307892;646262606;19007406;1820236;2024-11-06 10:57:28.123
0,23;0,24;0,22;0;7909927;10093190;10308603;646276714;19011350;1820305;2024-11-06 10:58:31.007
0,01;0,17;0,24;0;7914474;10093267;10308781;646117369;19008014;1820249;2024-11-06 11:01:55.941
0,07;0,23;0,22;0;7910111;10093163;10309047;646332967;19008090;1820278;2024-11-06 11:03:41.442
0,27;0,15;0,28;0;7913279;10093200;10308183;645900610;19011179;1820308;2024-11-06 11:05:01.946
0,31;0,13;0,21;0;7905781;10093139;10308880;646023457;19011273;1820263;2024-11-06 11:06:41.364
0,15;0,26;0,17;0;7915444;10093318;10307693;646173519;19010644;1820287;2024-11-06 11:08:33.472
0,31;0,14;0,16;2;7909460;10093225;10308063;646111594;19009705;1820219;2024-11-06 11:12:22.231
0,13;0,06;0,15;0;7913454;10093155;10307750;646117583;19008345;1820225;2024-11-06 11:12:37.219
0,16;0,27;0,22;0;7904848;10093210;10308837;646085309;19007390;1820238;2024-11-06 11:16:08.718
0,16;0,05;0,19;0;7911720;10093216;10308739;646214692;19011890;1820289;2024-11-06 11:16:54.407
0,07;0,17;0,20;0;7907779;10093246;10308986;646423268;19011169;1820340;2024-11-06 11:20:51.137
0,07;0,17;0,21;0;7907053;10093161;10309035;646029898;19009227;1820386;2024-11-06 11:21:17.024
0,16;0,45;0,20;0;7912406;10093243;10308811;646407310;19011467;1820246;2024-11-06 11:22:38.703
0,19;0,18;0,21;2;7910765;10093246;10308590;645683545;19007695;1820225;2024-11-06 11:24:43.876
0,15;0,25;0,09;0;7913740;10093197;10308349;645987855;19012102;1820248;2024-11-06 11:28:36.574
0,25;0,24;0,09;0;7906749;10093097;10308553;646239143;19010427;1820240;2024-11-06 11:29:34.716
0,10;0,14;0,25;2;7914300;10093237;10308357;646207761;19008624;1820393;2024-11-06 11:32:22.465
0,05;0,30;0,17;0;7913684;10093148;10307754;645933554;19008121;1820302;2024-11-06 11:33:53.956
0,20;0,13;0,26;1;7908738;10093194;10309261;645779975;19008189;1820312;2024-11-06 11:36:39.420
0,04;0,10;0,19;1;7911344;10093129;10308508;646122329;19009809;1820268;2024-11-06 11:36:53.029
0,29;0,15;0,21;1;7909858;10093187;10308512;646165843;19012932;1820250;2024-11-06 11:39:01.310
0,18;0,21;0,13;0;7909897;10093177;10307864;646053437;19009616;1820382;2024-11-06 11:40:55.971
0,04;0,16;0,19;0;7910347;10093211;10308404;646275142;19010429;1820325;2024-11-06 11:44:53.069
0,31;0,15;0,19;0;7911103;10093250;10308033;645986434;19009877;1820382;2024-11-06 11:45:48.590
0,01;0,32;0,25;0;7907497;10093148;10308604;645784985;19008874;1820273;2024-11-06 11:48:12.376
0,06;0,34;0,20;0;7909257;10093248;10308327;645998502;19010170;1820387;2024-11-06 11:49:29.638
0,14;0,15;0,13;1;7910476;10093202;10308363;646045597;19008769;1820310;2024-11-06 11:51:42.304
0,23;0,21;0,28;0;7914427;10093131;10307750;646448497;19010039;1820254;2024-11-06 11:53:48.600
0,15;0,22;0,13;1;7914290;10093219;10308706;646164091;19009248;1820235;2024-11-06 11:56:28.621
0,27;0,05;0,12;0;7910868;10093222;10308897;646246590;19010626;1820435;2024-11-06 11:58:44.104
0,08;0,19;0,16;0;7912581;10093183;10308438;646309759;19012956;1820375;2024-11-06 11:58:50.846
0,31;0,16;0,10;1;7911428;10093173;10307977;645856678;19012131;1820307;2024-11-06 12:00:31.472
0,24;0,24;0,23;0;7909944;10093269;10308518;646051780;19009251;1820376;2024-11-06 12:03:56.579
0,22;0,15;0,33;0;7909912;10093219;10308785;646165107;19010941;1820386;2024-11-06 12:06:00.035
0,03;0,25;0,15;0;7908224;10093153;10308358;646065020;19011243;1820343;2024-11-06 12:08:51.851
0,04;0,07;0,27;0;7913265;10093153;10308168;646001867;19013932;1820283;2024-11-06 12:10:23.603
0,12;0,23;0,21;0;7912934;10093192;10308439;646076258;19014003;1820337;2024-11-06 12:11:36.516
0,15;0,07;0,17;0;7904596;10093216;10308702;645897306;19011524;1820375;2024-11-06 12:12:55.690
0,00;0,20;0,19;2;7911210;10093200;10308279;646107879;19009619;1820404;2024-11-06 12:16:06.329
0,31;0,11;0,18;1;7907483;10093206;10308167;646372414;19010975;1820338;2024-11-06 12:17:44.068
0,12;0,00;0,25;1;7909190;10093142;10308167;645943135;19013656;1820450;2024-11-06 12:20:40.037
0,17;0,25;0,24;0;7914894;10093174;10308415;646088287;19012007;1820425;2024-11-06 12:22:57.326
0,21;0,29;0,19;0;7915224;10093142;10308133;645990445;19010709;1820360;2024-11-06 12:24:41.699
0,18;0,18;0,14;0;7913467;10093217;10309041;646273375;19013966;1820327;2024-11-06 12:26:15.203
0,40;0,18;0,24;1;7911809;10093201;10308368;645822245;19012947;1820266;2024-11-06 12:26:33.032
0,02;0,16;0,14;2;7909859;10093177;10308171;645960355;19010745;1820431;2024-11-06 12:30:36.255
0,18;0,12;0,18;0;7910508;10093283;10307984;646197084;19011501;1820319;2024-11-06 12:30:51.075
0,20;0,07;0,15;0;7909900;10093150;10308694;646007602;19014348;1820410;2024-11-06 12:33:14.550
0,01;0,12;0,17;0;7908573;10093170;10308876;646499735;19012861;1820393;2024-11-06 12:36:43.488
0,24;0,11;0,24;0;7912119;10093183;10308846;646275885;19011715;1820450;2024-11-06 12:36:48.989
0,20;0,23;0,15;2;7912674;10093164;10309188;645933760;19013268;1820450;2024-11-06 12:39:21.233
0,19;0,17;0,16;0;7911802;10093185;10308158;646190203;19012214;1820435;2024-11-06 12:41:28.633
0,22;0,26;0,16;0;7911891;10093065;10308889;646270786;19011803;1820307;2024-11-06 12:44:54.697
0,21;0,22;0,19;0;7906628;10093262;10309318;645778484;19011228;1820310;2024-11-06 12:46:39.508
0,08;0,32;0,23;0;7910822;10093220;10309018;646416016;19015051;1820429;2024-11-06 12:48:19.591
0,13;0,25;0,19;1;7911641;10093227;10307845;646262656;19011398;1820295;2024-11-06 12:50:26.867
0,30;0,10;0,18;0;7907895;10093196;10308804;646277350;19011028;1820391;2024-11-06 12:50:50.466
0,13;0,23;0,13;0;7907140;10093230;10308559;645884025;19015047;1820314;2024-11-06 12:53:36.405
0,28;0,08;0,20;0;7906954;10093218;10307853;646049937;19013900;1820451;2024-11-06 12:54:43.107
0,34;0,00;0,23;1;7915518;10093246;10309630;646192355;19015828;1820326;2024-11-06 12:57:29.168
0,28;0,26;0,15;0;7911828;10093145;10307664;646075413;19013390;1820447;2024-11-06 12:58:31.446
0,06;0,22;0,21;0;7913298;10093280;10308551;646182892;19015944;1820432;2024-11-06 13:01:05.741
0,04;0,21;0,17;1;7915457;10093188;10309161;646223980;19013038;1820346;2024-11-06 13:03:34.473
0,19;0,26;0,26;0;7909756;10093166;10308400;646187201;19015339;1820340;2024-11-06 13:06:00.403
0,23;0,12;0,12;1;7907413;10093188;10307995;646075343;19016231;1820410;2024-11-06 13:08:01.511
0,00;0,22;0,13;1;7908648;10093191;10308663;646345666;19014209;1820382;2024-11-06 13:10:32.131
0,20;0,05;0,17;2;7910159;10093183;10308037;645960581;19012159;1820494;2024-11-06 13:12:25.694
0,17;0,05;0,33;0;7909898;10093175;10307705;646281764;19013228;1820359;2024-11-06 13:12:51.925
0,26;0,04;0,26;0;7910596;10093225;10308892;646353799;19016632;1820403;2024-11-06 13:15:37.520
0,00;0,17;0,25;0;7911050;10093157;10308690;645932949;19016678;1820490;2024-11-06 13:18:44.629
0,17;0,17;0,22;1;7914327;10093157;10308765;645906261;19014372;1820487;2024-11-06 13:19:54.863
0,25;0,20;0,20;1;7910821;10093162;10308582;646185016;19014844;1820514;2024-11-06 13:22:52.563
0,23;0,19;0,24;0;7913945;10093184;10309191;646144840;19012600;1820444;2024-11-06 13:24:39.204
0,11;0,16;0,20;0;7915835;10093173;10308920;646137786;19014716;1820335;2024-11-06 13:25:05.437
0,33;0,26;0,19;1;7909809;10093153;10309166;645931626;19015813;1820485;2024-11-06 13:28:21.430
0,22;0,08;0,18;0;7913676;10093145;10308541;646116468;19013526;1820337;2024-11-06 13:30:45.854
0,31;0,15;0,15;1;7912847;10093239;10308868;646275245;19015676;1820414;2024-11-06 13:31:18.376
0,00;0,15;0,12;0;7913014;10093177;10308895;646310992;19012539;1820520;2024-11-06 13:33:34.344
0,02;0,26;0,16;0;7906820;10093240;10308450;646282093;19015804;1820499;2024-11-06 13:35:16.512
0,17;0,20;0,20;2;7909502;10093224;10308832;645941531;19013129;1820510;2024-11-06 13:38:04.938
0,13;0,21;0,12;0;7916052;10093273;10308508;646320646;19015623;1820391;2024-11-06 13:38:55.739
0,31;0,19;0,25;1;7912086;10093119;10309480;646219516;19014413;1820442;2024-11-06 13:41:21.707
0,14;0,36;0,17;0;7912992;10093189;10308372;646349551;19015613;1820476;2024-11-06 13:42:56.380
0,35;0,20;0,14;0;7912992;10093127;10308279;646352134;19014005;1820438;2024-11-06 13:46:26.548
0,17;0,26;0,18;0;7911500;10093201;10307890;646144525;19017661;1820393;2024-11-06 13:48:04.761
0,28;0,17;0,19;0;7909394;10093214;10309430;646281185;19015923;1820468;2024-11-06 13:49:12.599
0,05;0,05;0,21;0;7915128;10093160;10307986;646093569;19017880;1820381;2024-11-06 13:50:43.029
0,25;0,31;0,29;0;7909325;10093316;10310094;646286388;19015530;1820548;2024-11-06 13:53:37.760
0,06;0,13;0,26;0;7911968;10093238;10308842;645994251;19015159;1820497;2024-11-06 13:54:42.602
0,27;0,14;0,20;0;7914276;10093252;10310189;646270690;19014942;1820479;2024-11-06 13:58:47.825
0,13;0,22;0,15;0;7912731;10093258;10309153;645922315;19015647;1820468;2024-11-06 13:58:57.997
0,19;0,13;0,15;1;7914661;10093134;10308019;646205471;19017425;1820427;2024-11-06 14:01:02.570
0,09;0,28;0,20;1;7909014;10093224;10308668;646352033;19015417;1820559;2024-11-06 14:04:27.511
0,11;0,04;0,18;0;7913475;10093216;10308407;646181111;19016310;1820389;2024-11-06 14:05:10.056
0,16;0,26;0,14;0;7917377;10093256;10309138;646150791;19015829;1820455;2024-11-06 14:08:19.725
0,16;0,10;0,20;0;7912128;10093134;10307853;646434289;19015207;1820412;2024-11-06 14:08:36.703
0,26;0,23;0,23;1;7905156;10093175;10308410;646018800;19017149;1820561;2024-11-06 14:10:55.937
0,23;0,29;0,14;0;7913043;10093251;10308413;646218705;19017459;1820443;2024-11-06 14:13:28.451
0,14;0,25;0,16;0;7911608;10093189;10308467;646154610;19016853;1820403;2024-11-06 14:15:28.229
0,30;0,13;0,15;0;7913022;10093272;10308265;645969189;19016252;1820423;2024-11-06 14:16:48.784
0,24;0,21;0,16;0;7907968;10093194;10308383;646039563;19015764;1820419;2024-11-06 14:19:49.027
0,15;0,20;0,16;0;7913718;10093131;10308889;645779840;19014546;1820535;2024-11-06 14:22:05.804
0,15;0,13;0,12;0;7914939;10093185;10309024;645864961;19017612;1820509;2024-11-06 14:22:45.037
0,26;0,21;0,26;0;7910627;10093200;10308894;646421638;19018690;1820580;2024-11-06 14:25:13.756
0,18;0,31;0,22;1;7908252;10093128;10308568;645662605;19018761;1820464;2024-11-06 14:27:30.584
0,26;0,20;0,22;0;7917069;10093208;10308441;646067223;19014741;1820394;2024-11-06 14:30:00.203
0,19;0,29;0,17;0;7913968;10093211;10308824;645752105;19017951;1820522;2024-11-06 14:30:39.729
0,20;0,14;0,21;0;7912960;10093209;10308212;646068719;19018139;1820500;2024-11-06 14:33:39.229
0,37;0,13;0,23;0;7914382;10093202;10308800;646617850;19019336;1820543;2024-11-06 14:35:54.532
0,22;0,14;0,20;0;7911404;10093199;10309433;646111297;19016876;1820496;2024-11-06 14:37:50.835
0,21;0,26;0,23;0;7913117;10093248;10308198;646341369;19018883;1820529;2024-11-06 14:40:12.954
0,27;0,12;0,26;0;7907412;10093155;10309960;646159736;19015354;1820596;2024-11-06 14:41:49.653
0,14;0,24;0,23;0;7912393;10093145;10308126;645945622;19019486;1820529;2024-11-06 14:44:18.478
0,26;0,15;0,18;0;7907864;10093189;10308953;646041925;19015333;1820423;2024-11-06 14:45:11.340
0,17;0,14;0,35;0;7910921;10093264;10310049;646522402;19017322;1820537;2024-11-06 14:48:31.280
0,19;0,04;0,17;2;7916959;10093258;10308569;645966224;19016950;1820600;2024-11-06 14:48:46.033
0,17;0,10;0,18;0;7912472;10093169;10308298;646155618;19018607;1820430;2024-11-06 14:52:40.609
0,11;0,16;0,26;0;7913817;10093196;10308738;645815098;19016444;1820581;2024-11-06 14:54:58.047
0,31;0,25;0,26;0;7911739;10093203;10308451;646171088;19015690;1820568;2024-11-06 14:55:34.097
0,08;0,04;0,15;0;7907016;10093130;10309014;646345465;19019675;1820439;2024-11-06 14:56:38.846
0,05;0,17;0,14;0;7913723;10093144;10309370;646154762;19017842;1820607;2024-11-06 14:59:15.657
0,20;0,21;0,20;0;7911008;10093215;10309226;646132315;19019914;1820605;2024-11-06 15:01:22.502
0,15;0,25;0,19;0;7911417;10093204;10309786;646061356;19020236;1820424;2024-11-06 15:02:40.091
0,00;0,20;0,32;0;7909144;10093191;10309222;646055765;19019704;1820505;2024-11-06 15:05:17.306
0,09;0,12;0,11;0;7914718;10093192;10309731;646287758;19016760;1820462;2024-11-06 15:08:37.854
0,04;0,14;0,13;0;7910271;10093266;10308729;646158104;19018555;1820571;2024-11-06 15:09:25.770
0,22;0,13;0,27;0;7911139;10093116;10309201;646288416;19018455;1820628;2024-11-06 15:11:49.544
0,25;0,18;0,21;0;7906023;10093163;10308792;646284878;19020464;1820536;2024-11-06 15:14:17.405
0,23;0,17;0,22;0;7914175;10093061;10309199;646717621;19017549;1820446;2024-11-06 15:14:39.291
0,19;0,07;0,27;0;7906870;10093193;10308881;646082026;19020363;1820529;2024-11-06 15:18:37.945
0,21;0,12;0,23;0;7911269;10093115;10309588;646221402;19018151;1820442;2024-11-06 15:18:49.359
0,20;0,23;0,26;1;7909709;10093182;10309378;646041961;19018092;1820454;2024-11-06 15:20:37.742
0,20;0,10;0,20;1;7911435;10093155;10309183;645874426;19018807;1820499;2024-11-06 15:23:42.444
0,14;0,14;0,13;2;7909281;10093161;10308771;645812872;19019007;1820623;2024-11-06 15:26:59.288
0,03;0,20;0,19;0;7911496;10093177;10308358;645831598;19019230;1820455;2024-11-06 15:28:08.259
0,18;0,23;0,22;0;7912990;10093236;10308998;646065120;19018265;1820457;2024-11-06 15:29:10.604
0,22;0,21;0,26;0;7910677;10093227;10308161;646432990;19017355;1820497;2024-11-06 15:31:57.478
0,11;0,16;0,24;0;7912334;10093181;10309506;646276538;19021911;1820574;2024-11-06 15:33:00.780
0,17;0,33;0,17;0;7912064;10093141;10308698;646381373;19018601;1820545;2024-11-06 15:35:08.509
0,08;0,14;0,30;0;7913445;10093173;10308784;646397132;19021075;1820561;2024-11-06 15:37:29.257
0,00;0,19;0,31;0;7914897;10093173;10309908;645906621;19017972;1820612;2024-11-06 15:39:22.107
0,10;0,00;0,22;0;7911081;10093232;10308017;646150286;19017614;1820647;2024-11-06 15:40:32.719
0,09;0,09;0,27;1;7905628;10093280;10309351;646206978;19017725;1820617;2024-11-06 15:43:44.667
0,21;0,26;0,15;0;7910382;10093128;10309122;646211311;19018686;1820474;2024-11-06 15:44:38.224
0,37;0,08;0,18;0;7915183;10093112;10309428;646538111;19021641;1820617;2024-11-06 15:47:19.514
0,33;0,26;0,21;1;7909736;10093184;10309104;646092690;19021466;1820538;2024-11-06 15:48:56.036
0,25;0,17;0,31;0;7910836;10093197;10307592;646134273;19018057;1820660;2024-11-06 15:50:42.952
0,15;0,23;0,17;0;7911637;10093233;10308575;646303481;19019685;1820623;2024-11-06 15:54:02.137
0,13;0,21;0,20;2;7908844;10093205;10309596;646126586;19020526;1820537;2024-11-06 15:56:00.274
0,30;0,27;0,18;0;7911048;10093259;10309435;646358723;19020032;1820554;2024-11-06 15:57:08.721
0,08;0,21;0,23;1;7914775;10093216;10308786;646201920;19022805;1820541;2024-11-06 15:58:36.741
0,26;0,13;0,16;0;7910145;10093210;10308340;646443362;19019061;1820657;2024-11-06 16:02:49.619
0,20;0,15;0,16;0;7914562;10093214;10308796;646214661;19020226;1820612;2024-11-06 16:03:37.497
0,04;0,36;0,21;1;7912621;10093210;10307950;646196941;19020450;1820555;2024-11-06 16:06:53.131
0,12;0,11;0,18;0;7911929;10093228;10309084;646447186;19018696;1820562;2024-11-06 16:08:18.246
0,00;0,22;0,20;0;7915733;10093085;10308359;646420298;19018963;1820657;2024-11-06 16:08:59.474
0,17;0,06;0,28;0;7914684;10093157;10309729;646216078;19021240;1820514;2024-11-06 16:11:07.955
0,00;0,22;0,21;2;7912936;10093203;10308621;645897778;19019898;1820606;2024-11-06 16:13:45.447
0,30;0,20;0,24;0;7908339;10093079;10309192;646339053;19021217;1820672;2024-11-06 16:15:00.281
0,15;0,20;0,20;0;7910472;10093216;10309427;646216250;19020803;1820543;2024-11-06 16:16:38.723
0,30;0,10;0,19;0;7908998;10093168;10309121;646329005;19021759;1820513;2024-11-06 16:19:04.296
0,16;0,21;0,19;2;7913477;10093159;10310005;646514985;19021017;1820526;2024-11-06 16:22:26.784
0,33;0,30;0,21;0;7910008;10093172;10308354;646175560;19022277;1820512;2024-11-06 16:22:30.660
0,23;0,07;0,17;0;7915731;10093112;10308965;646194750;19020838;1820636;2024-11-06 16:26:41.085
0,00;0,08;0,28;0;7905025;10093140;10308804;646305844;19023462;1820691;2024-11-06 16:27:54.168
0,16;0,29;0,33;1;7915651;10093152;10308439;646339313;19019555;1820659;2024-11-06 16:28:59.717
0,07;0,33;0,26;0;7908984;10093258;10309050;646586392;19020350;1820597;2024-11-06 16:32:42.186
0,29;0,11;0,14;0;7912101;10093203;10308682;646331086;19022292;1820638;2024-11-06 16:32:44.804
0,24;0,20;0,17;0;7909399;10093226;10308720;646215556;19021765;1820692;2024-11-06 16:35:37.560
0,15;0,32;0,22;1;7912864;10093170;10309433;646298759;19021684;1820606;2024-11-06 16:38:47.842
0,23;0,22;0,23;0;7911139;10093120;10308658;646447855;19021082;1820547;2024-11-06 16:38:58.311
